500.0 550.0 0.04849146
550.0 600.0 0.01333020
600.0 650.0 0.01847880
650.0 700.0 0.01098700
700.0 750.0 0.01743660
750.0 800.0 0.01342940
800.0 850.0 0.01529300
850.0 900.0 0.01268840
900.0 950.0 0.00540880
950.0 1000.0 0.00725480
1000.0 1100.0 0.00787340
1100.0 1200.0 0.00680350
1200.0 1300.0 0.00561430
1300.0 1400.0 0.00966270
1400.0 1500.0 0.00803130
1500.0 1600.0 0.00920220
1600.0 1700.0 0.00728130
1700.0 1800.0 0.01177900
1800.0 1900.0 0.01157320
1900.0 2000.0 0.01287170
2000.0 2500.0 0.01493520
2500.0 3000.0 0.01668740
3000.0 3500.0 0.01768280
3500.0 4000.0 0.01731240
4000.0 6000.0 0.01882950
