500.0 550.0 0.03312328
550.0 600.0 0.03385234
600.0 650.0 0.02420624
650.0 700.0 0.02702882
700.0 750.0 0.02727842
750.0 800.0 0.02191562
800.0 850.0 0.02245308
850.0 900.0 0.02288444
900.0 950.0 0.02638440
950.0 1000.0 0.02660366
1000.0 1100.0 0.02282330
1100.0 1200.0 0.02785680
1200.0 1300.0 0.03085550
1300.0 1400.0 0.03353120
1400.0 1500.0 0.03179330
1500.0 1600.0 0.03929670
1600.0 1700.0 0.04282560
1700.0 1800.0 0.04084120
1800.0 1900.0 0.04565830
1900.0 2000.0 0.04480360
2000.0 2500.0 0.04282338
2500.0 3000.0 0.04513114
3000.0 3500.0 0.04451706
3500.0 4000.0 0.04218834
4000.0 6000.0 0.03808695
